ID,datetime,temperature,pressure,windspeed
2184,1380492000.0,-0.7,1010.0,2.78
2185,1380495600.0,-2.1,1011.0,5.77
2186,1380499200.0,-0.7,1003.0,8.665
2187,1380502800.0,-1.4,1000.0,12.045
2188,1380506400.0,-2.1,1004.0,16.439999999999998
2189,1380510000.0,-1.4,1004.0,19.82
2190,1380513600.0,-0.7,993.0,23.2
2191,1380517200.0,-2.1,992.0,26.33
2192,1380520800.0,1.4,992.0,28.835
2193,1380524400.0,2.1,1005.0,32.355000000000004
2194,1380528000.0,4.3,1000.0,2.79
2195,1380531600.0,4.3,1003.0,4.33
2196,1380535200.0,5.0,1002.0,7.835
2197,1380538800.0,6.4,1001.0,10.25
2198,1380542400.0,4.3,1005.0,13.13
2199,1380546000.0,6.4,996.0,14.67
2200,1380549600.0,5.7,996.0,16.085
2201,1380553200.0,6.4,997.0,4.255
2202,1380556800.0,5.0,987.0,6.885
2203,1380560400.0,5.0,993.0,12.155
2204,1380564000.0,2.9,996.0,16.2
2205,1380567600.0,2.1,998.0,20.72
2206,1380571200.0,3.6,1000.0,24.365
2207,1380574800.0,2.9,998.0,29.01
